구분,시군,시설명 ,대표자,소재지도로명주소,전화번호
재가노인복지시설,청주,The기쁜노인복지센터,양현정,"청주시 서원구 장전로 85, 2층 (성화동)",043-233-5552
재가노인복지시설,청주,나이팅게일재가장기요양기관,한지혜,청주시 서원구 사직대로 308-2 (사직동),043-267-8980
재가노인복지시설,청주,다정한방문요양센터,이응란,"청주시 서원구 수영로 10, 1층 (수곡동)",043-293-7201
재가노인복지시설,청주,라온의료기,최민정,"청주시 서원구 1순환로 785, 1층 101호 (개신동, 송학아파트 상가동)",043-276-1199
재가노인복지시설,청주,바른재가노인복지센터,송정미,"청주시 서원구 사직대로 155, 1층 (사창동)",043-903-0099
재가노인복지시설,청주,봄날주간보호센터,김명선,"청주시 서원구 무심서로 405, 3층 (모충동)",043-262-4840
재가노인복지시설,청주,청주사랑재가복지센터,안복순,"청주시 서원구 구룡산로 275-5, 상가동 103호 (수곡동)",043-288-3649
재가노인복지시설,청주,효드림주간보호센터,이봉숙,"청주시 서원구 모충로25번길 9, 4층 (개신동)",043-273-0866
재가노인복지시설,청주,효신주간보호센터,박정규,"청주시 서원구 수영로 6, 4층 (수곡동)",043-285-9988
재가노인복지시설,청주,9988방문요양센터,양광연,청주시 흥덕구 덕암로114번길 33 (봉명동),043-277-9988
재가노인복지시설,청주,(A+)동행노인복지센터,백종현,"청주시 흥덕구 2순환로 1265, 3,4,5층 (가경동)",043-234-3651
재가노인복지시설,청주,가나안재가복지센터,정상선,"청주시 흥덕구 풍년로 77, 101호 (가경동)",043-272-4360
재가노인복지시설,청주,가로수 노인주간보호센터,이은경,"청주시 흥덕구 가로수로 1312, 3,5층 (복대동)",043-238-0060
재가노인복지시설,청주,강서주간보호센터,남기변,"청주시 흥덕구 서현중로 53-1, 401호 (강서동)",043-239-1771
재가노인복지시설,청주,나눔재가노인복지센터,조요셉,"청주시 흥덕구 가로수로1312번길 5, 2층 (복대동)",043-234-5630
재가노인복지시설,청주,늘청춘주간보호센터,오성남,"청주시 흥덕구 오송읍 연제1길 20-10, 2층",043-231-1004
재가노인복지시설,청주,다섬김재가노인복지센터,양현정,"청주시 흥덕구 복대로158번길 17, 101호 (복대동)",043-233-2938
재가노인복지시설,청주,다정노인주간보호센터,한정수,"청주시 흥덕구 1순환로 543, 2층 (봉명동)",043-269-0140
재가노인복지시설,청주,대한재가복지센터,조영희,"청주시 흥덕구 오송읍 가로수로 187-1, 1층",043-231-9733
재가노인복지시설,청주,더프라임재가요양센터,김대성,"청주시 흥덕구 직지대로 781, 1층 (운천동)",043-275-6588
재가노인복지시설,청주,도경노인주간보호센터,이미선,"청주시 흥덕구 가로수로 1077, 1,2층 (비하동)",043-223-5311
재가노인복지시설,청주,드림재가장기요양기관,권재선,"청주시 흥덕구 1순환로513번길 33, 106동 105호 (신봉동, 삼정백조아파트)",043-263-1337
재가노인복지시설,청주,마중재가노인복지센터(흥덕점),김보윤,청주시 흥덕구 풍년로112번길 1-5 (가경동),043-238-9443
재가노인복지시설,청주,모헌정재가복지센터,김학은,청주시 흥덕구 오송읍 봉산1길 30-1,043-903-8833
재가노인복지시설,청주,백합 주야간보호센터,최미선,"청주시 흥덕구 비하로35번길 14, 4층 (비하동)",043-236-4988
재가노인복지시설,청주,보금자리주간보호 방문요양센터,심윤정,청주시 흥덕구 옥산면 오산가좌로 151,043-269-0220
재가노인복지시설,청주,보듬재가장기요양기관,최순복,"청주시 흥덕구 대신로10번길 12, 4층 (복대동)",043-291-1919
재가노인복지시설,청주,사랑재가장기요양기관,신춘수,충청북도 청주시 흥덕구 가로수로 1386 (복대동),043-236-3140
재가노인복지시설,청주,사랑으로노인복지센터,최후관,"청주시 흥덕구 1순환로 616, 2층, 3층 (봉명동)",043-275-8575
재가노인복지시설,청주,성은실버케어센터,연성은,"청주시 흥덕구 백봉로 179, 3층 (봉명동)",043-268-0289
재가노인복지시설,청주,신율재가노인복지센터,남미경,청주시 흥덕구 신율로 144 (복대동),043-904-5087
재가노인복지시설,청주,아들네주간보호센터,김미숙,"청주시 흥덕구 오송읍 오송생명로 202, 3층",043-231-7898
재가노인복지시설,청주,오송휴케어주간보호센터,김경식,청주시 흥덕구 오송읍 연제1길 20-10,043-233-3377
재가노인복지시설,청주,옥산방문요양복지센터,박경필,"청주시 흥덕구 옥산면 오송가락로 718, 303동 904호 (아트빌아파트)",043-904-5812
재가노인복지시설,청주,우리집으로(재활)노인주야간보호센터,차정애,"청주시 흥덕구 송화로108번길 55, 3층 (송절동)",043-260-1777
재가노인복지시설,청주,유정재가노인복지센터,김춘자,"청주시 흥덕구 직지대로639번길 97, 2층 (봉명동)",043-267-3337
재가노인복지시설,청주,조아재가복지센터,고연자,"충청북도 청주시 흥덕구 오송읍 봉산2길 20-3, 201호",043-238-9433
재가노인복지시설,청주,청춘대학주간보호센터,정경숙,"청주시 흥덕구 백봉로223번길 17, 2층 (봉명동)",043-276-1999
재가노인복지시설,청주,팔팔재가노인복지센터,육동순,청주시 흥덕구 강내면 가로수로 534,043-233-1216
재가노인복지시설,청주,평화노인복지센터,정윤회,청주시 흥덕구 가로수로1164번길 64-2 (강서동),043-235-4004
재가노인복지시설,청주,평화의집 노인방문요양센터,백서희,"충청북도 청주시 흥덕구 강내면 월곡길 10-8, 1층",043-715-8873
재가노인복지시설,청주,한빛 주간보호센터,길용준,"청주시 흥덕구 과상미로 3, 3층 (봉명동)",043-266-7747
재가노인복지시설,청주,해오름방문요양센터,노선임,"청주시 흥덕구 풍년로112번길 7, 201호 (가경동)",043-235-4231
재가노인복지시설,청주,향기나무재가장기요양기관,김태철,"청주시 흥덕구 서현로 68, 203동 2005호 (가경동, 청주가경아이파크2단지)",043-267-2949
재가노인복지시설,청주,현암노인주간보호센터,김지견,청주시 흥덕구 오송읍 정중상봉길 206,043-231-6449
재가노인복지시설,청주,현양노인복지센터,이철호,청주시 흥덕구 1순환로 392 (신봉동),043-266-0957
재가노인복지시설,청주,현진노인복지센터(흥덕노인요양원병설),권혜숙,청주시 흥덕구 서부로 837-102 (현암동),043-236-4774
재가노인복지시설,청주,화목한노인주간보호센터,김용미,"청주시 흥덕구 서현북로 81, 8층 (가경동)",043-239-5007
재가노인복지시설,청주,효평화재가복지센터,구혜진,"충청북도 청주시 흥덕구 대신로73번길 8, 제상가동 1층 115호 (복대동)",043-237-1528
재가노인복지시설,청주,휴 노인복지센터,안동진,"청주시 흥덕구 비하로57번길 38-8, 4, 5층 (비하동)",043-237-9183
재가노인복지시설,청주,나비방문요양센터,김종남,"청주시 청원구 율천북로 191, 2층 (율량동)",043-211-0365
재가노인복지시설,청주,삼원재가복지센터,전민선,"청주시 청원구 북이면 장재1길 11-1, 2층",043-211-8182
재가노인복지시설,청주,내덕노인복지센터,이대영,청주시 청원구 충청대로62번길 1-18 (내덕동),043-216-9810
재가노인복지시설,청주,성민주야간보호센터,봉장근,청주시 청원구 북이면 토성1길 41,043-274-1004
재가노인복지시설,청주,금빛노인주간보호센터,권미영,"청주시 청원구 공항로 126, 3층 301호 (율량동, 우양메디타워)",043-213-1200
재가노인복지시설,청주,우리동네N노인주간보호센터,한지형,"청주시 청원구 오창읍 모정4길 1-2, 2층",043-212-6578
재가노인복지시설,청주,THE명품 노인주간보호센터,장연호,청주시 청원구 충청대로83번길 23 (내덕동),043-255-1700
재가노인복지시설,청주,행복오창주간보호센터,김영민,"청주시 청원구 오창읍 오창중앙로 123-8, 3층",043-213-2916
재가노인복지시설,청주,간호드림주간보호센터,우은정,"청주시 청원구 율봉로176번길 19, 4층 (율량동)",043-212-7729
재가노인복지시설,청주,다정한주간보호센터,배은숙,청주시 청원구 내수읍 청암로 111,043-217-1230
재가노인복지시설,청주,참편한노인주간보호센터,손성태,청주시 청원구 발산로 98-35 (사천동),043-216-6100
재가노인복지시설,청주,늘품노인주야간보호센터,이은호,"청주시 청원구 율봉로 14, 3층 (사천동)",043-216-5122
재가노인복지시설,청주,좋은하루 주간보호센터,유정숙,청주시 청원구 내수읍 도원세교로 213,043-214-2777
재가노인복지시설,청주,늘편한노인주간보호센터,손성태,"청주시 청원구 발산로 98-35, 1층 (사천동)",043-211-1515
재가노인복지시설,청주,본향데이케어,이영희,청주시 청원구 팔결로 125-1 (오동동),043-241-4747
재가노인복지시설,청주,우리함께주간보호센터,박연미,청주시 청원구 사뜸로61번길 62 (율량동),043-213-5028
재가노인복지시설,청주,청춘노인주야간보호센터,고성우,"청주시 청원구 공항로 106, 4층 (율량동)",043-211-9912
재가노인복지시설,청주,효자노인재가복지센터,차성자,청주시 청원구 우암로9번길 85 (우암동),043-222-0486
재가노인복지시설,청주,내덕재가복지센터,김영리,청주시 청원구 공항로21번길 8 (내덕동),043-250-0101
재가노인복지시설,청주,누리복지용구,이영연,청주시 청원구 내덕로 66 (내덕동),043-291-8890
재가노인복지시설,청주,행복나눔노인주야간보호센터,황연옥,"청주시 청원구 율봉로 43, 2층 (사천동)",043-213-7377
재가노인복지시설,청주,주성노인복지센터,최은미,"청주시 청원구 상당로 307, 2층 202호 (내덕동)",043-223-6655
재가노인복지시설,청주,은혜노인주야간보호센터,박은혜,"청주시 청원구 공항로 106, 3층 (율량동)",043-213-9986
재가노인복지시설,청주,수안노인재가방문요양센터,박경숙,"청주시 청원구 오창읍 오창중앙로 65, 614동 104호 (우림필유2차아파트)",
재가노인복지시설,청주,율량데이케어센터,김소정,청주시 청원구 충청대로 313-1 (주성동),043-217-3356
재가노인복지시설,청주,누리노인재가복지센터,이병완,청주시 청원구 내수읍 은곡길 9,043-212-8890
재가노인복지시설,청주,드림케어노인복지센터,이동현,청주시 청원구 율천남로 106 (내덕동),043-222-6133
재가노인복지시설,청주,해마루실버케어주간보호센터,송미경,청주시 청원구 2순환로160번길 92-15 (주성동),043-217-6588
재가노인복지시설,청주,초정노인복지센터,오성균,청주시 청원구 내수읍 우산길 91,043-213-6800
재가노인복지시설,청주,청주오창재가방문요양센터,권명희,"청주시 청원구 오창읍 주성3길 29, 1층 101호",043-212-6301
재가노인복지시설,청주,햇살방문요양복지센터,김정화,"청주시 청원구 향군로108번길 20, 1층 43호 (우암동, 평화상가아파트)",043-222-2877
재가노인복지시설,청주,만수재가노인복지센터,김정희,"청주시 청원구 율봉로222번길 30, 1층 (율량동)",043-236-2485
재가노인복지시설,청주,별빛케어센터,허장권,"청주시 청원구 충청대로83번길 9, 4층 (내덕동)",043-241-0691
재가노인복지시설,청주,가화노인복지센터,남기옥,청주시 상당구 용암로103번길 22 (용암동),043-259-2005
재가노인복지시설,청주,건강의료기 한국병원점,이영주,청주시 상당구 영운로 53 (영운동),043-252-9361
재가노인복지시설,청주,나래주간보호센터,연미영,"청주시 상당구 산성로116번길 18, 3층 (용담동)",043-298-8879
재가노인복지시설,청주,늘사랑주간보호센터,김정중,청주시 상당구 영운천로 33-2 (영운동),043-221-1601
재가노인복지시설,청주,더나은노인복지센터,정현실,청주시 상당구 용암로 100 (용암동),043-292-9989
재가노인복지시설,청주,더드림노인복지센터,변재숙,청주시 상당구 단재로 141-1 (영운동),043-224-9027
재가노인복지시설,청주,더봄노인복지센터,박유진,"청주시 상당구 호미로 208, 103호 (용정동)",043-715-1125
재가노인복지시설,청주,더사랑재활주간보호센터,이금순,"청주시 상당구 산성로92번길 17, 4층 (금천동, 유니온프라자)",043-252-9988
재가노인복지시설,청주,더스마일주간보호센터,김행신,청주시 상당구 문의면 남계리 562번지,043-288-0866
재가노인복지시설,청주,더해피케어노인복지센터,조관희,청주시 상당구 당산로 85 (용담동),043-222-9933
재가노인복지시설,청주,동막골주야간보호센터,송연지,청주시 상당구 동남로147번길 19 (용암동),043-293-7775
재가노인복지시설,청주,마리아재가노인복지센터,박원기,"청주시 상당구 호미로198번길 2-3, 101호 (용정동, 빛과소금)",070-4320-8030
재가노인복지시설,청주,마음으로재가노인복지센터,주현희,"청주시 상당구 가덕면 상대3길 34, 2동",043-293-7080
재가노인복지시설,청주,백세노인복지센터,이희자,청주시 상당구 남일면 신송효촌길 89,043-715-6700
재가노인복지시설,청주,백세누리주간보호센터,김원국,"청주시 상당구 대성로122번길 54, 2층 (대성동)",043-223-0108
재가노인복지시설,청주,봄빛재가노인복지센터,전미숙,"청주시 상당구 용암로 37, 상가동 203호 (용암동)",043-288-6328
재가노인복지시설,청주,비지팅엔젤스청주상당방문요양지점,연은숙,"청주시 상당구 단재로 86, 3층 (영운동)",043-221-3395
재가노인복지시설,청주,새봄재가노인복지센터,김은지,"청주시 상당구 중흥로 127, 202호 (용암동)",043-291-3603
재가노인복지시설,청주,수복재가장기요양기관,안순필,청주시 상당구 쇠내로 104 (금천동),043-902-8205
재가노인복지시설,청주,온정복지용구,유나겸,청주시 상당구 교동로 20 (수동),043-715-3355
재가노인복지시설,청주,우리가족방문요양센터,박상아,"청주시 상당구 당산로 70, 상가1층 101호 (용담동)",043-255-5326
재가노인복지시설,청주,은하수재가노인복지센터,김명례,"청주시 상당구 단재로 303-13, 상가동 102호 (방서동)",043-296-8700
재가노인복지시설,청주,재가노인복지시설선한이웃,송영권,"청주시 상당구 용정로12번길 16, 301호 (용정동)",043-296-0323
재가노인복지시설,청주,청주실버재가노인복지센터,이정호,"청주시 상당구 수동로 39, 1층 (수동)",043-223-1345
재가노인복지시설,청주,청주탑노인복지센터,서경분,청주시 상당구 당산로 5 (대성동),043-255-8899
재가노인복지시설,청주,충북노인주간보호센터,유은미,"청주시 상당구 중고개로 285, 2층 (금천동)",043-287-2500
재가노인복지시설,청주,친절한방문주간보호재활센터,허미라,"청주시 상당구 남일면 신송효촌길 140, 4층",043-284-3006
재가노인복지시설,청주,하늘사랑노인복지센터,김선화,"청주시 상당구 중흥로 54-1, 4층 (용암동)",043-225-5030
재가노인복지시설,청주,하늘사랑재가센터,송경진,청주시 상당구 용암북로4번길 54 (용암동),043-287-5030
재가노인복지시설,청주,하늘사랑주간보호센터,송복순,"청주시 상당구 미원면 남부로 6968, 2층",043-295-5032
재가노인복지시설,청주,한울타리재가복지센터,서미경,청주시 상당구 문의면 문의시내2길 15-8,043-296-1601
재가노인복지시설,청주,함박웃음재가노인복지센터,김경아,"청주시 상당구 용암북로44번길 29, 1층 103호 (용암동)",043-291-4799
