연번,의료시설구분,기관명,기관 소재지,위도,경도,전화번호,데이터기준일
79,의원,민안과의원,"충청북도 청주시 상당구 사직대로361번길 8-2, 1,2,3층 (북문로2가)",36.6371222,127.4877188,043-222-2248,2022-10-31
80,의원,조가정의학과의원,"충청북도 청주시 상당구 중흥로 145, 2.3층 (용암동, 퓨전상가)",36.6168969,127.5099142,043-285-2002,2022-10-31
81,의원,고은소아과의원,"충청북도 청주시 상당구 용암북로138번길 36, 2층 (용암동)",36.6198126,127.5139418,043-284-9898,2022-10-31
82,의원,윤마취통증의학과의원,"충청북도 청주시 상당구 청남로 2200, 4층 (석교동)",36.6277556,127.4914079,043-250-9898,2022-10-31
83,의원,용이비인후과의원,충청북도 청주시 상당구 중고개로 320 (금천동),36.6286861,127.5111299,043-284-3007,2022-10-31
84,의원,고운산부인과의원,"충청북도 청주시 상당구 중고개로 320, 2층 (금천동)",36.6301087,127.5094929,043-285-7373,2022-10-31
85,의원,큰나무정형외과의원,"충청북도 청주시 상당구 대성로 27 (석교동, 큰나무정형외과)",36.6276304,127.4931403,043-250-0131,2022-10-31
86,의원,박정현소아과의원,"충청북도 청주시 상당구 중흥로 54, 2층 (용암동)",36.6105953,127.5035074,043-288-2080,2022-10-31
87,의원,속편한김대수내과의원,"충청북도 청주시 상당구 산성로92번길 6, 5층 (금천동)",36.6307906,127.5035423,043-254-1588,2022-10-31
88,의원,최인석정신건강의학과의원,"충청북도 청주시 상당구 중흥로 54, 4층 (용암동)",36.6105953,127.5035074,043-284-3886,2022-10-31
89,의원,이재경성형외과의원,"충청북도 청주시 상당구 상당로 51, 2층 (남문로2가)",36.6326233,127.4893834,043-225-5757,2022-10-31
90,의원,우상민내과의원,"충청북도 청주시 상당구 청남로 2199, 2층 (석교동)",36.6279607,127.4909023,043-224-7582,2022-10-31
91,의원,이화산부인과의원,충청북도 청주시 상당구 단재로 141-3 (영운동),36.6223196,127.4982345,043-223-6755,2022-10-31
92,의원,현대가정의학과의원,"충청북도 청주시 상당구 용담로63번길 42, 2층 (탑동)",36.6325172,127.4994241,043-250-7582,2022-10-31
93,의원,서울가정의학과의원,"충청북도 청주시 상당구 산성로 68, 2층 (금천동, 엘림빌딩)",36.6301087,127.5094929,043-225-7511,2022-10-31
94,의원,순풍산부인과의원,충청북도 청주시 상당구 월평로 182 (용암동),36.6100113,127.5043764,043-294-9555,2022-10-31
95,의원,소화내과의원,"충청북도 청주시 상당구 쇠내로91번길 7, 2층 (금천동)",36.6251178,127.5036111,043-221-7582,2022-10-31
96,의원,삼성정형외과의원,"충청북도 청주시 상당구 월평로 180, 국민은행 3층 (용암동)",36.6101087,127.5041567,043-293-6866,2022-10-31
97,의원,전이비인후과의원,"충청북도 청주시 상당구 월평로 188, 3층 (용암동)",36.6096396,127.5049198,043-294-0167,2022-10-31
98,의원,녹십자의원,충청북도 청주시 상당구 미원면 미원시내2길 11-6,36.6319715,127.6537318,043-297-0093,2022-10-31
99,의원,창문연합의원,"충청북도 청주시 상당구 영운로 165, 2층,3층 (석교동)",36.6266444,127.4924364,043-255-7533,2022-10-31
100,의원,안윤영정신건강의학과의원,"충청북도 청주시 상당구 용담로 7, 상가동 1층 51,52호 (문화동, 문화동 센트럴칸타빌)",36.6328378,127.4919236,043-252-0808,2022-10-31
101,의원,한빛의원,충청북도 청주시 상당구 용암로 3 (용암동),36.6094455,127.5100743,043-293-6211,2022-10-31
102,의원,신세기정형외과의원,충청북도 청주시 상당구 중고개로 305 (금천동),36.630251,127.5057496,043-250-7114,2022-10-31
103,의원,성모정신건강의학과의원,"충청북도 청주시 상당구 청남로 2200, 5층 (석교동)",36.6277556,127.4914079,043-223-8275,2022-10-31
104,의원,이상봉비뇨기과의원,"충청북도 청주시 상당구 월평로 188, 3층 (용암동, 평안빌딩)",36.6096396,127.5049198,043-294-9464,2022-10-31
105,의원,박영규안과의원,"충청북도 청주시 상당구 청남로 2200, 3층 (석교동)",36.6277556,127.4914079,043-252-0333,2022-10-31
106,의원,최내과의원,"충청북도 청주시 상당구 월평로 182, 2층 (용암동)",36.6100113,127.5043764,043-294-2066,2022-10-31
107,의원,서울연합항외과의원,충청북도 청주시 상당구 상당로 12 (서운동),36.6299943,127.4939772,043-255-5900,2022-10-31
108,의원,연세유정산부인과의원,충청북도 청주시 상당구 중고개로 333 (금천동),36.625781,127.5105702,043-250-0001,2022-10-31
109,의원,제일내과의원,충청북도 청주시 상당구 수영로 293 (금천동),36.6308896,127.5043747,043-293-1111,2022-10-31
110,의원,연세안과의원,충청북도 청주시 상당구 1순환로 1261 (용암동),36.6141761,127.5044313,043-294-2300,2022-10-31
111,의원,상당이비인후과의원,"충청북도 청주시 상당구 중고개로 181, 2층 (용암동)",36.6204324,127.5147641,043-298-8007,2022-10-31
112,의원,이규영소아청소년과의원,"충청북도 청주시 상당구 월평로 207 (용암동, 형석아파트상가)",36.6091513,127.5075621,043-293-6037,2022-10-31
113,의원,청주가정의학과의원,충청북도 청주시 상당구 수영로 228 (금천동),36.629293,127.5053219,043-253-7560,2022-10-31
114,의원,정기봉의원,충청북도 청주시 상당구 쇠내로 82 (금천동),36.6247659,127.5028519,043-252-8900,2022-10-31
115,의원,정효경성형외과의원,충청북도 청주시 상당구 상당로 52 (문화동),36.6324272,127.4915729,043-222-6556,2022-10-31
116,의원,이기봉정신건강의학과의원,"충청북도 청주시 상당구 상당로 38-1, 2층 (서운동)",36.6299927,127.493016,043-255-7775,2022-10-31
117,의원,이재수내과의원,"충청북도 청주시 상당구 청남로 2194-2, 2층,3층 (석교동)",36.6272962,127.4908418,043-255-2233,2022-10-31
118,의원,김영태신경외과의원,충청북도 청주시 상당구 단재로 21-1 (석교동),36.6256072,127.4939802,043-258-0174,2022-10-31
119,의원,도내과의원,"충청북도 청주시 상당구 상당로 37, 1층 (남문로1가)",36.6315657,127.49075,043-253-9111,2022-10-31
120,의원,최동석소아청소년과의원,충청북도 청주시 상당구 월평로 182 (용암동),36.6100113,127.5043764,043-298-7000,2022-10-31
121,의원,이원제성형외과의원,충청북도 청주시 상당구 상당로 49 (남문로2가),36.6326963,127.4893873,043-222-0002,2022-10-31
122,의원,박이비인후과의원,충청북도 청주시 상당구 상당로 62 (문화동),36.633329,127.4925655,043-256-4162,2022-10-31
123,의원,성모피부과의원,충청북도 청주시 상당구 사직대로350번길 11-2 (서문동),36.6360297,127.48661,043-256-4956,2022-10-31
124,의원,홍종문정신건강의학과의원,충청북도 청주시 상당구 상당로 158 (북문로2가),36.6385793,127.4889093,043-253-3200,2022-10-31
125,의원,전영환비뇨기과의원,충청북도 청주시 상당구 남사로 137 (남문로2가),36.6325235,127.4889287,043-256-1115,2022-10-31
126,의원,김진용내과의원,충청북도 청주시 상당구 상당로 154 (북문로2가),36.6385793,127.4889093,043-256-2520,2022-10-31
127,의원,사단법인경찰공제회충북의원,충청북도 청주시 상당구 가덕면 교육원로 131-20,36.5768403,127.5675547,043-297-6488,2022-10-31
128,의원,진산부인과의원,충청북도 청주시 상당구 단재로 16 (석교동),36.6256533,127.495704,043-255-3566,2022-10-31
129,의원,김성철내과의원,"충청북도 청주시 상당구 무심동로336번길 119-1, 3층 (남문로2가)",36.6317179,127.489661,043-255-2986,2022-10-31
130,의원,유완상정신건강의학과의원,충청북도 청주시 상당구 상당로 52 (문화동),36.6324272,127.4915729,043-252-7895,2022-10-31
131,의원,김내과의원,충청북도 청주시 상당구 무심동로392번길 1 (서문동),36.6357936,127.4849477,043-252-7088,2022-10-31
132,의원,김광수피부과의원,충청북도 청주시 상당구 상당로 37 (남문로1가),36.6305967,127.4902622,043-256-2959,2022-10-31
133,의원,오정진내과의원,충청북도 청주시 상당구 용담로 6-1 (문화동),36.6344447,127.4938263,043-252-6200,2022-10-31
134,의원,오성근이비인후과의원,충청북도 청주시 상당구 상당로 41 (문화동),36.6324027,127.4938553,043-256-5577,2022-10-31
135,의원,유사랑내과의원,충청북도 청주시 상당구 단재로 117 (영운동),36.6188595,127.4979339,043-259-5566,2022-10-31
136,산후조리원,삼성산후조리원원,충청북도 청주시 상당구 용암북로160번길 34-7 (용암동),36.6213894,127.5154077,043-291-3582,2022-10-31
137,안전상비의약품,(주)코리아세븐 청주금천광장점,"충청북도 청주시 상당구 산성로92번길 27, 1층 5호 (금천동)",36.6306901,127.5049507,,2022-10-31
138,안전상비의약품,(주)코리아세븐 청주동남힐데스점,"충청북도 청주시 상당구 월운로 116, A동 110~111호 (용암동, 동남 힐데스하임)",36.619952,127.5257839,,2022-10-31
139,안전상비의약품,(주)코리아세븐 청주용담대림점,충청북도 청주시 상당구 호미로 330 (용담동),36.6360349,127.5098959,043-283-8359,2022-10-31
140,안전상비의약품,(주)코리아세븐 청주용암강변점,"충청북도 청주시 상당구 무심동로 84, 강변뜨란채아파트 (용암동)",36.6138882,127.49788,,2022-10-31
141,안전상비의약품,(주)코리아세븐 청주용암남부점,"충청북도 청주시 상당구 월평로184번길 75, 1층 (용암동)",36.6082115,127.5030577,,2022-10-31
142,안전상비의약품,(주)코리아세븐 청주용암부영점,"충청북도 청주시 상당구 중흥로 142, 중흥마을 부영아파트 상가동 102, 103호 (용암동)",36.6158854,127.5104774,,2022-10-31
143,안전상비의약품,(주)코리아세븐 청주용암제일점,충청북도 청주시 상당구 월평로 220 (용암동),36.6078585,127.5076654,043-297-0711,2022-10-31
144,안전상비의약품,CU 청주 수동센터점,"충청북도 청주시 상당구 대성로 168, 101호 (수동)",36.6402442,127.492188,,2022-10-31
145,안전상비의약품,CU 청주대성점,"충청북도 청주시 상당구 용담로 102, 1층 (대성동)",36.6332043,127.501873,,2022-10-31
146,안전상비의약품,CU 청주동남힐데스하임점,"충청북도 청주시 상당구 월운로 116, C동 105~106호 (용암동, 동남 힐데스하임)",36.6190249,127.5257727,043-212-4487,2022-10-31
147,안전상비의약품,CU성안점,충청북도 청주시 상당구 대성로 69 (서운동),36.6300767,127.4919517,043-250-6632,2022-10-31
148,안전상비의약품,CU청주금천효성점,"충청북도 청주시 상당구 수영로 210, 1층 (금천동)",36.6306132,127.507467,,2022-10-31
149,안전상비의약품,CU청주중앙점,"충청북도 청주시 상당구 사직대로 363-1, 1층 (북문로2가)",36.6370111,127.487866,,2022-10-31
150,안전상비의약품,GS25 GS상당점,충청북도 청주시 상당구 호미로165번길 64 (용암동),36.621403,127.5158794,043-295-7143,2022-10-31
151,안전상비의약품,GS25 금천광장점,충청북도 청주시 상당구 산성로98번길 23 (용담동),36.631166,127.5049636,,2022-10-31
152,안전상비의약품,GS25 금천뉴타운점,"충청북도 청주시 상당구 영운천로127번길 39, 1층 (금천동)",36.6225144,127.5101895,,2022-10-31
153,안전상비의약품,GS25 금천수정점,"충청북도 청주시 상당구 쇠내로135번길 13, 1층 (금천동)",36.6222518,127.5076946,,2022-10-31
154,안전상비의약품,GS25 금천스타점,충청북도 청주시 상당구 중고개로 333 (금천동),36.625781,127.5105702,043-224-7355,2022-10-31
155,안전상비의약품,GS25 남문로점,충청북도 청주시 상당구 남사로 131 (남문로2가),36.6325235,127.4889287,,2022-10-31
156,안전상비의약품,GS25 동남칸타빌점,"충청북도 청주시 상당구 중고개로 104 (용암동, 칸타빌 더 테라스 2단지)",36.6191882,127.5260535,,2022-10-31
157,안전상비의약품,GS25 영운빌리지,"충청북도 청주시 상당구 수영로137번길 22 (영운동, 영운빌리지)",36.6182428,127.5003621,,2022-10-31
158,안전상비의약품,GS25 영운신라점,충청북도 청주시 상당구 단재로77번길 28 (영운동),36.6215255,127.4969372,,2022-10-31
159,안전상비의약품,GS25 용암센터점,충청북도 청주시 상당구 용암로 94-1 (용암동),36.6154994,127.5040931,043-285-3964,2022-10-31
160,안전상비의약품,GS25 용암중앙점,"충청북도 청주시 상당구 용암북로80번길 21-1, 1층 (용암동)",36.6180744,127.5082868,,2022-10-31
161,안전상비의약품,GS25 청주영동,"충청북도 청주시 상당구 교서로 2, 1층 (영동)",36.6448373,127.4866567,043-222-0880,2022-10-31
162,안전상비의약품,GS25 청주영운점,충청북도 청주시 상당구 쇠내로 159 (영운동),36.6202257,127.5087483,,2022-10-31
163,안전상비의약품,GS25 청주용성점,"충청북도 청주시 상당구 호미로 167, 1층 (용암동)",36.6235217,127.5178719,,2022-10-31
164,안전상비의약품,GS25 청주우성점,충청북도 청주시 상당구 용담로63번길 35 (탑동),36.6326606,127.499648,,2022-10-31
165,안전상비의약품,GS25 청주월평로점,"충청북도 청주시 상당구 월평로 221, 107호 (용암동, 효성아파트)",36.6084108,127.5088616,043-294-1670,2022-10-31
166,안전상비의약품,GS25 호미우미린점,"충청북도 청주시 상당구 수영로 359, 상가동 114,115호 (용담동, 우미린 에듀파크 2단지)",36.6342886,127.5123634,,2022-10-31
167,안전상비의약품,GS25 효성병원점,충청북도 청주시 상당구 단재로57번길 9 (금천동),36.6239273,127.4950332,,2022-10-31
168,안전상비의약품,GS25금천부영점,"충청북도 청주시 상당구 수영로 292, 상가동 1층 102호 (금천동, 장자마을부영그린타운2차아파트)",36.6299265,127.5068184,,2022-10-31
169,안전상비의약품,GS25금천현대점,"충청북도 청주시 상당구 수영로 312, 1층 5호 (금천동, 장자마을 현대아파트)",36.632714,127.50911,043-286-9993,2022-10-31
170,안전상비의약품,GS25방서자이점,"충청북도 청주시 상당구 단재로 316, 상가동2동 101호 (방서동, 청주센트럴자이)",36.6005728,127.5015434,,2022-10-31
171,안전상비의약품,GS25서문파크점,충청북도 청주시 상당구 남사로83번길 14 (서문동),36.6324652,127.484678,,2022-10-31
172,안전상비의약품,GS25용암스타점,충청북도 청주시 상당구 단재로196번길 35 (용암동),36.6137076,127.4990874,,2022-10-31
173,안전상비의약품,GS25용암원룸점,충청북도 청주시 상당구 무농정로31번길 7-2(용암동),36.6065771,127.5061913,,2022-10-31
174,안전상비의약품,GS25용암현대점,"충청북도 청주시 상당구 원봉로 41, 1층 4101호 (용암동, 용암현대2차아파트)",36.6131716,127.5090949,,2022-10-31
175,안전상비의약품,GS25용정비발디점,충청북도 청주시 상당구 용정로 34 (용정동),36.6254582,127.5249943,,2022-10-31
176,안전상비의약품,GS25청주가좌마을점,"충청북도 청주시 상당구 호미로 319, 부영가좌마을E-그린상가, 103~104호 (용담동)",36.6344074,127.5085912,,2022-10-31
177,안전상비의약품,GS25청주건영점,충청북도 청주시 상당구 월평로 161 (용암동),36.6125419,127.503723,,2022-10-31
178,안전상비의약품,GS25청주나보나점,"충청북도 청주시 상당구 상당로 66, 나보나스퀘어 112호 (문화동)",36.6319205,127.4906694,,2022-10-31
179,안전상비의약품,GS25청주동부점,"충청북도 청주시 상당구 호미로198번길 21, 1층 (용정동)",36.6264418,127.5172477,043-288-1030,2022-10-31
180,안전상비의약품,GS25청주상당로점,"충청북도 청주시 상당구 상당로143번길 44, 1층 (북문로3가)",36.6409903,127.4879336,,2022-10-31
181,안전상비의약품,GS25청주상당점,충청북도 청주시 상당구 1순환로1253번길 18 (용암동),36.608651,127.5042901,043-296-1704,2022-10-31
182,안전상비의약품,GS25청주석교점,충청북도 청주시 상당구 영운로 140 (석교동),36.6274699,127.4910017,,2022-10-31
183,안전상비의약품,GS25청주희망점,"충청북도 청주시 상당구 용암북로138번길 30-2, 1층 (용암동)",36.6202058,127.513567,,2022-10-31
184,안전상비의약품,문의(영덕)휴게소 편의점,"충청북도 청주시 상당구 문의면 당진영덕고속도로 124, 문의휴게소",36.5439375,127.4846875,,2022-10-31
185,안전상비의약품,문의(청주)휴게소 편의점,"충청북도 청주시 상당구 문의면 당진영덕고속도로 123, 문의휴게소",36.5439375,127.4846875,,2022-10-31
186,안전상비의약품,미니스톱 금천센터점,"충청북도 청주시 상당구 쇠내로 68, 1층 (금천동)",36.6246774,127.5013006,,2022-10-31
187,안전상비의약품,미니스톱 동남베르힐점,"충청북도 청주시 상당구 호미로 14, 상가 115동 101~102호 (용암동)",36.6279017,127.5146713,,2022-10-31
188,안전상비의약품,미니스톱 동남빌리지점,충청북도 청주시 상당구 중고개로125번길 31-1(용암동),36.6252363,127.5091628,,2022-10-31
189,안전상비의약품,미니스톱 동남센터점,"충청북도 청주시 상당구 중고개로 137, 221호 (용암동)",36.6169444,127.5180213,,2022-10-31
