시군,시설명,대표자,소재지도로명주소,위도,경도,전화번호
청주,오송휴케어주간보호센터,김경식,청주시 흥덕구 오송읍 연제1길 20-10,36.6255718,127.323391,043-233-3377
청주,옥산방문요양복지센터,박경필,"청주시 흥덕구 옥산면 오송가락로 718, 303동 904호 (아트빌아파트)",36.6569923,127.3693017,043-904-5812
청주,우리집으로(재활)노인주야간보호센터,차정애,"청주시 흥덕구 송화로108번길 55, 3층 (송절동)",36.6639561,127.4503775,043-260-1777
청주,유정재가노인복지센터,김춘자,"청주시 흥덕구 직지대로639번길 97, 2층 (봉명동)",36.6470755,127.466345,043-267-3337
청주,조아재가복지센터,고연자,"충청북도 청주시 흥덕구 오송읍 봉산2길 20-3, 201호",36.6195919,127.3182879,043-238-9433
청주,청춘대학주간보호센터,정경숙,"청주시 흥덕구 백봉로223번길 17, 2층 (봉명동)",36.6502434,127.4601517,043-276-1999
청주,팔팔재가노인복지센터,육동순,청주시 흥덕구 강내면 가로수로 534,36.6235097,127.3595523,043-233-1216
청주,평화노인복지센터,정윤회,청주시 흥덕구 가로수로1164번길 64-2 (강서동),36.6245001,127.4260542,043-235-4004
청주,평화의집 노인방문요양센터,백서희,"충청북도 청주시 흥덕구 강내면 월곡길 10-8, 1층",36.6234535,127.3685241,043-715-8873
청주,한빛 주간보호센터,길용준,"청주시 흥덕구 과상미로 3, 3층 (봉명동)",36.6434221,127.4615119,043-266-7747
청주,해오름방문요양센터,노선임,"청주시 흥덕구 풍년로112번길 7, 201호 (가경동)",36.6231176,127.4361215,043-235-4231
청주,향기나무재가장기요양기관,김태철,"청주시 흥덕구 서현로 68, 203동 2005호 (가경동, 청주가경아이파크2단지)",36.6159243,127.4321915,043-267-2949
청주,현암노인주간보호센터,김지견,청주시 흥덕구 오송읍 정중상봉길 206,36.6328786,127.2930016,043-231-6449
청주,현양노인복지센터,이철호,청주시 흥덕구 1순환로 392 (신봉동),36.6561149,127.4721041,043-266-0957
청주,현진노인복지센터(흥덕노인요양원병설),권혜숙,청주시 흥덕구 서부로 837-102 (현암동),36.5995776,127.3977661,043-236-4774
청주,화목한노인주간보호센터,김용미,"청주시 흥덕구 서현북로 81, 8층 (가경동)",36.6227948,127.4309586,043-239-5007
청주,효평화재가복지센터,구혜진,"충청북도 청주시 흥덕구 대신로73번길 8, 제상가동 1층 115호 (복대동)",36.6408664,127.4343667,043-237-1528
청주,휴 노인복지센터,안동진,"청주시 흥덕구 비하로57번길 38-8, 4, 5층 (비하동)",36.632271,127.4227451,043-237-9183
청주,나비방문요양센터,김종남,"청주시 청원구 율천북로 191, 2층 (율량동)",36.6650604,127.4914392,043-211-0365
청주,삼원재가복지센터,전민선,"청주시 청원구 북이면 장재1길 11-1, 2층",36.7463415,127.563753,043-211-8182
청주,내덕노인복지센터,이대영,청주시 청원구 충청대로62번길 1-18 (내덕동),36.662388,127.4941098,043-216-9810
청주,성민주야간보호센터,봉장근,청주시 청원구 북이면 토성1길 41,36.7478848,127.5683798,043-274-1004
청주,금빛노인주간보호센터,권미영,"청주시 청원구 공항로 126, 3층 301호 (율량동, 우양메디타워)",36.6685218,127.4855354,043-213-1200
청주,우리동네N노인주간보호센터,한지형,"청주시 청원구 오창읍 모정4길 1-2, 2층",36.7461888,127.4614539,043-212-6578
청주,THE명품 노인주간보호센터,장연호,청주시 청원구 충청대로83번길 23 (내덕동),36.6642208,127.491392,043-255-1700
청주,행복오창주간보호센터,김영민,"청주시 청원구 오창읍 오창중앙로 123-8, 3층",36.709176,127.4162744,043-213-2916
청주,간호드림주간보호센터,우은정,"청주시 청원구 율봉로176번길 19, 4층 (율량동)",36.6677991,127.4885496,043-212-7729
청주,다정한주간보호센터,배은숙,청주시 청원구 내수읍 청암로 111,36.7256271,127.5426427,043-217-1230
청주,참편한노인주간보호센터,손성태,청주시 청원구 발산로 98-35 (사천동),36.6776761,127.4748275,043-216-6100
청주,늘품노인주야간보호센터,이은호,"청주시 청원구 율봉로 14, 3층 (사천동)",36.6622998,127.4728692,043-216-5122
청주,좋은하루 주간보호센터,유정숙,청주시 청원구 내수읍 도원세교로 213,36.6992902,127.5462272,043-214-2777
청주,늘편한노인주간보호센터,손성태,"청주시 청원구 발산로 98-35, 1층 (사천동)",36.6776761,127.4748275,043-211-1515
청주,본향데이케어,이영희,청주시 청원구 팔결로 125-1 (오동동),36.6975943,127.4756708,043-241-4747
청주,우리함께주간보호센터,박연미,청주시 청원구 사뜸로61번길 62 (율량동),36.6670405,127.4772818,043-213-5028
청주,청춘노인주야간보호센터,고성우,"청주시 청원구 공항로 106, 4층 (율량동)",36.6669218,127.4863793,043-211-9912
청주,효자노인재가복지센터,차성자,청주시 청원구 우암로9번길 85 (우암동),36.6547099,127.4783168,043-222-0486
청주,내덕재가복지센터,김영리,청주시 청원구 공항로21번길 8 (내덕동),36.659326,127.4871507,043-250-0101
청주,누리복지용구,이영연,청주시 청원구 내덕로 66 (내덕동),36.6570008,127.4878398,043-291-8890
청주,행복나눔노인주야간보호센터,황연옥,"청주시 청원구 율봉로 43, 2층 (사천동)",36.6642201,127.4753359,043-213-7377
청주,주성노인복지센터,최은미,"청주시 청원구 상당로 307, 2층 202호 (내덕동)",36.655834,127.4882118,043-223-6655
청주,은혜노인주야간보호센터,박은혜,"청주시 청원구 공항로 106, 3층 (율량동)",36.6669218,127.4863793,043-213-9986
청주,수안노인재가방문요양센터,박경숙,"청주시 청원구 오창읍 오창중앙로 65, 614동 104호 (우림필유2차아파트)",,,
청주,율량데이케어센터,김소정,청주시 청원구 충청대로 313-1 (주성동),36.6786961,127.4983599,043-217-3356
청주,누리노인재가복지센터,이병완,청주시 청원구 내수읍 은곡길 9,36.7008027,127.5269241,043-212-8890
청주,드림케어노인복지센터,이동현,청주시 청원구 율천남로 106 (내덕동),36.6631766,127.4830191,043-222-6133
청주,해마루실버케어주간보호센터,송미경,청주시 청원구 2순환로160번길 92-15 (주성동),36.6744646,127.5069357,043-217-6588
청주,초정노인복지센터,오성균,청주시 청원구 내수읍 우산길 91,36.7233105,127.5929344,043-213-6800
청주,청주오창재가방문요양센터,권명희,"청주시 청원구 오창읍 주성3길 29, 1층 101호",36.7378156,127.4552781,043-212-6301
청주,햇살방문요양복지센터,김정화,"청주시 청원구 향군로108번길 20, 1층 43호 (우암동, 평화상가아파트)",36.6545931,127.4832228,043-222-2877
청주,만수재가노인복지센터,김정희,"청주시 청원구 율봉로222번길 30, 1층 (율량동)",36.6666542,127.4927704,043-236-2485
청주,별빛케어센터,허장권,"청주시 청원구 충청대로83번길 9, 4층 (내덕동)",36.6639933,127.4922715,043-241-0691
청주,가화노인복지센터,남기옥,청주시 상당구 용암로103번길 22 (용암동),36.6159881,127.5025632,043-259-2005
청주,건강의료기 한국병원점,이영주,청주시 상당구 영운로 53 (영운동),36.6202318,127.4954065,043-252-9361
청주,나래주간보호센터,연미영,"청주시 상당구 산성로116번길 18, 3층 (용담동)",36.6325041,127.505429,043-298-8879
청주,늘사랑주간보호센터,김정중,청주시 상당구 영운천로 33-2 (영운동),36.6210381,127.5100272,043-221-1601
청주,더나은노인복지센터,정현실,청주시 상당구 용암로 100 (용암동),36.6159987,127.5040158,043-292-9989
청주,더드림노인복지센터,변재숙,청주시 상당구 단재로 141-1 (영운동),36.6223507,127.4982139,043-224-9027
청주,더봄노인복지센터,박유진,"청주시 상당구 호미로 208, 103호 (용정동)",36.6266396,127.515697,043-715-1125
청주,더사랑재활주간보호센터,이금순,"청주시 상당구 산성로92번길 17, 4층 (금천동, 유니온프라자)",36.6309004,127.5044719,043-252-9988
청주,더스마일주간보호센터,김행신,청주시 상당구 문의면 남계리 562번지,36.5438781,127.4992978,043-288-0866
청주,더해피케어노인복지센터,조관희,청주시 상당구 당산로 85 (용담동),36.6353987,127.5041758,043-222-9933
청주,동막골주야간보호센터,송연지,청주시 상당구 동남로147번길 19 (용암동),36.607407,127.5197457,043-293-7775
청주,마리아재가노인복지센터,박원기,"청주시 상당구 호미로198번길 2-3, 101호 (용정동, 빛과소금)",36.6257793,127.5165158,070-4320-8030
청주,마음으로재가노인복지센터,주현희,"청주시 상당구 가덕면 상대3길 34, 2동",36.5534892,127.513331,043-293-7080
청주,백세노인복지센터,이희자,청주시 상당구 남일면 신송효촌길 89,36.5856967,127.5029185,043-715-6700
청주,백세누리주간보호센터,김원국,"청주시 상당구 대성로122번길 54, 2층 (대성동)",36.6364792,127.4951472,043-223-0108
청주,봄빛재가노인복지센터,전미숙,"청주시 상당구 용암로 37, 상가동 203호 (용암동)",36.611297,127.5070892,043-288-6328
청주,비지팅엔젤스청주상당방문요양지점,연은숙,"청주시 상당구 단재로 86, 3층 (영운동)",36.6211513,127.4956221,043-221-3395
청주,새봄재가노인복지센터,김은지,"청주시 상당구 중흥로 127, 202호 (용암동)",36.61572,127.5085727,043-291-3603
청주,수복재가장기요양기관,안순필,청주시 상당구 쇠내로 104 (금천동),36.6239932,127.5047263,043-902-8205
청주,온정복지용구,유나겸,청주시 상당구 교동로 20 (수동),36.6371839,127.4926198,043-715-3355
청주,우리가족방문요양센터,박상아,"청주시 상당구 당산로 70, 상가1층 101호 (용담동)",36.6345233,127.5029123,043-255-5326
청주,은하수재가노인복지센터,김명례,"청주시 상당구 단재로 303-13, 상가동 102호 (방서동)",36.6022671,127.5040538,043-296-8700
청주,재가노인복지시설선한이웃,송영권,"청주시 상당구 용정로12번길 16, 301호 (용정동)",36.6282601,127.5155831,043-296-0323
청주,청주실버재가노인복지센터,이정호,"청주시 상당구 수동로 39, 1층 (수동)",36.64757,127.4939436,043-223-1345
청주,청주탑노인복지센터,서경분,청주시 상당구 당산로 5 (대성동),36.6328185,127.4966784,043-255-8899
청주,충북노인주간보호센터,유은미,"청주시 상당구 중고개로 285, 2층 (금천동)",36.6279933,127.5079411,043-287-2500
청주,친절한방문주간보호재활센터,허미라,"청주시 상당구 남일면 신송효촌길 140, 4층",36.5849848,127.5084308,043-284-3006
청주,하늘사랑노인복지센터,김선화,"청주시 상당구 중흥로 54-1, 4층 (용암동)",36.6103755,127.5034012,043-225-5030
청주,하늘사랑재가센터,송경진,청주시 상당구 용암북로4번길 54 (용암동),36.6123842,127.5008559,043-287-5030
청주,하늘사랑주간보호센터,송복순,"청주시 상당구 미원면 남부로 6968, 2층",36.6221694,127.6609207,043-295-5032
청주,한울타리재가복지센터,서미경,청주시 상당구 문의면 문의시내2길 15-8,36.5180187,127.4990832,043-296-1601
청주,함박웃음재가노인복지센터,김경아,"청주시 상당구 용암북로44번길 29, 1층 103호 (용암동)",36.615225,127.5045862,043-291-4799
